,<CLOSE>,indicator,Общая стоимость портфеля
2012-06-09,28.0,0.0,5000.0
2012-06-13,27.81,75.0,5000.0
2012-06-14,30.29,8.75,5000.0
2012-06-15,28.86,23.410714285714285,5000.0
2012-06-18,29.0,10.0,5000.0
2012-06-19,27.55,10.0,5000.0
2012-06-20,25.74,10.666666666666666,5000.0
2012-06-21,26.62,6.666666666666666,5000.0
2012-06-22,24.06,10.0,5000.0
2012-06-25,25.55,0.0,5000.0
2012-06-26,25.52,0.0,5000.0
2012-06-27,25.5,0.0,5000.0
2012-06-28,25.1,54.54545454545454,5000.0
2012-06-29,26.4,0.0,5000.0
2012-07-02,25.93,13.333333333333332,5000.0
2012-07-03,25.74,0.0,5000.0
2012-07-04,26.6,0.0,5000.0
2012-07-05,25.99,100.0,5000.0
2012-07-06,25.29,13.333333333333332,5000.0
2012-07-09,24.98,0.0,5000.0
2012-07-10,24.49,0.0,5000.0
2012-07-11,25.0,0.0,5000.0
2012-07-12,25.6,0.0,5000.0
2012-07-13,25.59,0.0,5000.0
2012-07-16,24.98,0.0,5000.0
2012-07-17,25.5,0.0,5000.0
2012-07-18,24.99,0.0,5000.0
2012-07-19,23.5,0.0,5000.0
2012-07-20,23.5,0.0,5000.0
2012-07-23,23.91,0.0,5000.0
2012-07-24,23.84,75.0,5000.0
2012-07-25,24.26,8.333333333333334,5000.0
2012-07-26,22.1,0.0,5000.0
2012-07-27,21.3,100.0,5000.0
2012-07-30,19.56,77.77777777777777,5000.0
2012-07-31,28.67,10.735930735930737,5000.0
2012-08-01,34.0,3.333333333333333,5000.0
2012-08-02,33.0,0.0,5000.0
2012-08-03,33.99,0.0,5000.0
2012-08-06,33.98,0.0,5000.0
2012-08-07,33.98,0.0,5000.0
2012-08-08,33.95,0.0,5000.0
2012-08-09,32.01,0.0,5000.0
2012-08-10,32.9,0.0,5000.0
2012-08-13,32.74,0.0,5000.0
2012-08-14,32.64,0.0,5000.0
2012-08-16,32.77,0.0,5000.0
2012-08-17,31.99,0.0,5000.0
2012-08-20,29.0,0.0,5000.0
2012-08-21,28.76,0.0,5000.0
2012-08-22,28.64,0.0,5000.0
2012-08-23,26.06,0.0,5000.0
2012-08-24,31.69,0.0,5000.0
2012-08-27,31.17,0.0,5000.0
2012-08-28,24.25,0.0,5000.0
2012-08-29,24.0,0.0,5000.0
2012-08-30,24.99,0.0,5000.0
2012-08-31,24.99,0.0,5000.0
2012-09-03,25.13,0.0,5000.0
2012-09-04,25.0,0.0,5000.0
2012-09-06,22.81,0.0,5000.0
2012-09-07,27.49,0.0,5000.0
2012-09-10,26.49,0.0,5000.0
2012-09-11,27.66,0.0,5000.0
2012-09-12,26.17,0.0,5000.0
2012-09-13,25.0,0.0,5000.0
2012-09-14,29.6,0.0,5000.0
2012-09-17,27.29,100.0,5000.0
2012-09-18,28.9,10.0,5161.0
2012-09-19,27.99,0.0,5070.0
2012-09-20,26.01,0.0,4872.0
2012-09-21,26.22,0.0,4893.0
2012-09-24,27.25,0.0,4996.0
2012-09-25,25.84,0.0,4855.0
2012-09-26,25.49,0.0,4820.0
2012-09-27,25.49,0.0,4820.0
2012-09-28,26.17,0.0,4888.0
2012-10-01,25.19,100.0,4790.0
2012-10-03,24.79,0.0,4750.0
2012-10-04,24.59,0.0,4730.0
2012-10-05,25.0,0.0,4771.0
2012-10-08,26.19,0.0,4890.0
2012-10-09,24.97,0.0,4768.0
2012-10-10,24.19,0.0,4690.0
2012-10-11,23.44,0.0,4615.0
2012-10-15,24.49,0.0,4720.0
2012-10-16,23.97,0.0,4668.0
2012-10-17,23.1,0.0,4581.0
2012-10-18,23.0,0.0,4571.0
2012-10-19,23.48,0.0,4619.0
2012-10-22,22.93,100.0,4564.0
2012-10-23,23.4,0.0,4611.0
2012-10-24,22.05,0.0,4476.0
2012-10-25,22.9,0.0,4561.0
2012-10-26,22.0,0.0,4471.0
2012-10-29,22.0,0.0,4471.0
2012-10-30,22.02,0.0,4473.0
2012-10-31,23.47,0.0,4618.0
2012-11-01,23.0,0.0,4571.0
2012-11-02,24.48,0.0,4719.0
2012-11-07,26.61,0.0,4932.0
2012-11-09,26.33,0.0,4904.0
2012-11-12,24.82,0.0,4753.0
2012-11-13,23.2,0.0,4591.0
2012-11-14,23.0,0.0,4571.0
2012-11-15,23.0,10.0,4571.0
2012-11-16,24.0,0.0,4671.0
2012-11-19,24.58,0.0,4729.0
2012-11-21,24.09,0.0,4680.0
2012-11-22,23.01,0.0,4572.0
2012-11-23,23.08,0.0,4579.0
2012-11-26,23.03,0.0,4574.0
2012-11-27,24.06,0.0,4677.0
2012-11-28,24.06,0.0,4677.0
2012-11-29,23.96,0.0,4667.0
2012-11-30,22.0,100.0,4471.0
2012-12-03,22.0,0.0,4471.0
2012-12-04,23.56,0.0,4783.0
2012-12-05,22.05,0.0,4481.0
2012-12-07,22.4,0.0,4551.0
2012-12-11,22.2,0.0,4511.0
2012-12-12,22.0,0.0,4471.0
2012-12-13,22.43,0.0,4557.0
2012-12-17,25.0,75.0,5071.0
2012-12-18,25.0,0.0,5071.0
2012-12-19,25.45,10.0,5161.0
2012-12-20,23.98,10.0,4867.0
2012-12-21,23.28,0.0,4727.0
2012-12-24,23.7,100.0,4811.0
2012-12-25,23.22,0.0,4715.0
2012-12-26,22.5,0.0,4571.0
2012-12-27,24.52,0.0,4975.0
2012-12-28,24.0,0.0,4871.0
2013-01-08,23.25,0.0,4721.0
2013-01-09,23.4,0.0,4751.0
2013-01-10,23.43,0.0,4757.0
2013-01-11,24.01,0.0,4873.0
2013-01-14,23.97,100.0,4865.0
2013-01-15,23.14,0.0,4699.0
2013-01-16,23.03,0.0,4677.0
2013-01-17,22.99,10.0,4669.0
2013-01-21,22.95,0.0,4661.0
2013-01-22,23.11,0.0,4693.0
2013-01-23,22.54,0.0,4579.0
2013-01-24,22.9,0.0,4651.0
2013-01-25,22.96,0.0,4663.0
2013-01-28,23.13,0.0,4697.0
2013-01-29,22.99,0.0,4669.0
2013-01-30,22.95,0.0,4661.0
2013-01-31,22.89,0.0,4649.0
2013-02-01,22.55,0.0,4581.0
2013-02-04,22.99,0.0,4669.0
2013-02-05,24.0,100.0,4871.0
2013-02-06,23.17,0.0,4705.0
2013-02-07,22.05,0.0,4481.0
2013-02-08,21.81,0.0,4433.0
2013-02-11,21.61,0.0,4393.0
2013-02-12,21.38,0.0,4347.0
2013-02-13,22.02,0.0,4475.0
2013-02-14,21.16,0.0,4303.0
2013-02-15,21.9,0.0,4451.0
2013-02-18,21.36,0.0,4343.0
2013-02-19,21.77,0.0,4425.0
2013-02-20,23.0,0.0,4671.0
2013-02-21,22.7,0.0,4611.0
2013-02-22,21.37,0.0,4345.0
2013-02-25,22.18,0.0,4507.0
2013-02-26,22.61,100.0,4593.0
2013-02-27,21.76,0.0,4423.0
2013-02-28,22.18,0.0,4507.0
2013-03-01,21.7,0.0,4411.0
2013-03-04,22.47,0.0,4565.0
2013-03-05,21.41,0.0,4353.0
2013-03-06,20.51,0.0,4173.0
2013-03-07,20.8,0.0,4231.0
2013-03-11,21.2,0.0,4311.0
2013-03-12,20.71,0.0,4213.0
2013-03-13,21.18,0.0,4307.0
2013-03-14,20.77,0.0,4225.0
2013-03-15,20.91,0.0,4253.0
2013-03-18,20.76,0.0,4223.0
2013-03-19,21.0,0.0,4271.0
2013-03-20,20.72,0.0,4215.0
2013-03-21,20.7,0.0,4211.0
2013-03-22,19.36,0.0,3943.0
2013-03-25,19.07,0.0,3885.0
2013-03-26,20.63,100.0,4197.0
2013-04-01,18.52,15.0,3775.0
2013-04-02,18.51,0.0,3773.0000000000005
2013-04-04,21.69,0.0,4409.0
2013-04-11,21.4,100.0,4351.0
2013-04-12,20.0,0.0,4071.0
2013-04-15,18.89,0.0,3849.0
2013-04-18,18.5,0.0,3771.0
2013-04-19,18.5,0.0,3771.0
2013-04-23,20.6,0.0,4191.0
2013-04-25,20.99,0.0,4269.0
2013-04-26,20.29,0.0,4129.0
2013-04-29,16.53,100.0,3377.0
2013-04-30,18.76,0.0,3823.0000000000005
2013-05-02,16.01,0.0,3273.0000000000005
2013-05-03,15.64,100.0,3199.0
2013-05-07,17.99,20.0,3668.9999999999995
2013-05-08,19.8,0.0,4031.0
2013-05-13,19.0,0.0,3871.0
2013-05-14,17.54,0.0,3579.0
2013-05-15,17.81,0.0,3632.9999999999995
2013-05-16,17.39,0.0,3549.0
2013-05-31,17.0,0.0,3471.0
2013-06-03,16.0,100.0,3271.0
2013-06-04,17.0,0.0,3471.0
2013-06-05,19.77,0.0,4025.0
2013-06-07,17.5,0.0,3571.0
2013-06-10,17.99,0.0,3668.9999999999995
2013-06-11,18.0,0.0,3671.0
2013-06-13,19.0,0.0,3871.0
2013-06-17,15.5,0.0,3171.0
2013-06-18,15.0,0.0,3071.0
2013-06-21,15.5,0.0,3171.0
2013-06-24,15.5,0.0,3171.0
2013-06-26,17.0,0.0,3471.0
2013-06-27,13.05,0.0,2681.0
2013-06-28,15.0,0.0,3071.0
2013-07-01,14.02,0.0,2875.0
2013-07-03,16.0,0.0,3271.0
2013-07-04,15.3,0.0,3131.0
2013-07-05,15.59,0.0,3189.0
2013-07-09,15.0,0.0,3071.0
2013-07-11,14.5,0.0,2971.0
2013-07-12,14.67,0.0,3005.0
2013-07-15,16.0,0.0,3271.0
2013-07-16,16.0,0.0,3271.0
2013-07-17,16.0,0.0,3271.0
2013-07-18,16.0,0.0,3271.0
2013-07-19,15.0,0.0,3071.0
2013-07-24,13.14,0.0,2699.0
2013-07-26,15.0,0.0,3071.0
